,faction,class,name,unit_size,offence,defence,caste,category,special_category,multiplayer_cost,entity_size,key,fly_speed
10,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Shadows) on Unicorn,1.0,MA,,Lord,Wizard,,700.0,medium,wh2_dlc16_wef_cha_spellweaver_shadows_2,0.0
11,wh_dlc05_wef_wood_elves,Lord,Glade Lord on Elven Steed,1.0,MA,,Lord,Hybrid Weapon Specialist,,1050.0,medium,wh_dlc05_wef_cha_glade_lord_1,0.0
12,wh_dlc05_wef_wood_elves,Lord,Ancient Treeman,1.0,AP,Armoured,Lord,Monster,,1300.0,very_large,wh_dlc05_wef_cha_ancient_treeman_0,0.0
13,wh_dlc05_wef_wood_elves,Lord,Glade Lord on Forest Dragon,1.0,AP,,Lord,Hybrid Weapon Specialist,,2000.0,very_large,wh_dlc05_wef_cha_glade_lord_3,90.0
14,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Beasts) on Great Eagle,1.0,,,Lord,Wizard,,950.0,large,wh2_dlc16_wef_cha_spellweaver_beasts_3,110.0
15,wh_dlc05_wef_wood_elves,Lord,Spellweaver (High),1.0,MA,,Lord,Wizard,,400.0,small,wh2_dlc16_wef_cha_spellweaver_high_0,0.0
16,wh_dlc05_wef_wood_elves,Lord,Glade Lord on Great Eagle,1.0,MA,,Lord,Hybrid Weapon Specialist,,1400.0,large,wh_dlc05_wef_cha_female_glade_lord_2,110.0
17,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Dark),1.0,MA,,Lord,Wizard,,400.0,small,wh2_dlc16_wef_cha_spellweaver_dark_0,0.0
18,wh_dlc05_wef_wood_elves,Lord,Glade Lord,1.0,MA,,Lord,Hybrid Weapon Specialist,,850.0,small,wh_dlc05_wef_cha_glade_lord_0,0.0
19,wh_dlc05_wef_wood_elves,Lord,Malevolent Ancient Treeman (Shadows),1.0,AP,Armoured,Lord,Monster,,1350.0,very_large,wh2_dlc16_wef_cha_malicious_ancient_treeman_shadows_0,0.0
20,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Shadows),1.0,MA,,Lord,Wizard,,400.0,small,wh2_dlc16_wef_cha_spellweaver_shadows_0,0.0
21,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Life) on Great Eagle,1.0,,,Lord,Wizard,,950.0,large,wh2_dlc16_wef_cha_spellweaver_life_3,110.0
22,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Beasts) on Elven Steed,1.0,MA,,Lord,Wizard,,600.0,medium,wh2_dlc16_wef_cha_spellweaver_beasts_1,0.0
23,wh_dlc05_wef_wood_elves,Lord,Durthu,1.0,AP,Armoured,Lord,Monster,,1800.0,very_large,wh_dlc05_wef_cha_durthu_0,0.0
24,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Beasts) on Unicorn,1.0,MA,,Lord,Wizard,,700.0,medium,wh2_dlc16_wef_cha_spellweaver_beasts_2,0.0
25,wh_dlc05_wef_wood_elves,Lord,Spellweaver (High) on Great Eagle,1.0,,,Lord,Wizard,,950.0,large,wh2_dlc16_wef_cha_spellweaver_high_3,110.0
26,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Life) on Elven Steed,1.0,MA,,Lord,Wizard,,600.0,medium,wh2_dlc16_wef_cha_spellweaver_life_1,0.0
27,wh_dlc05_wef_wood_elves,Lord,Orion,1.0,AP & AL,,Lord,Hybrid Weapon Specialist,,1600.0,large,wh_dlc05_wef_cha_orion_0,0.0
28,wh_dlc05_wef_wood_elves,Lord,Glade Lord on Elven Steed,1.0,MA,,Lord,Hybrid Weapon Specialist,,1050.0,medium,wh_dlc05_wef_cha_female_glade_lord_1,0.0
29,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Dark) on Great Eagle,1.0,,,Lord,Wizard,,950.0,large,wh2_dlc16_wef_cha_spellweaver_dark_3,110.0
30,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Dark) on Unicorn,1.0,MA,,Lord,Wizard,,700.0,medium,wh2_dlc16_wef_cha_spellweaver_dark_2,0.0
31,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Shadows) on Great Eagle,1.0,,,Lord,Wizard,,950.0,large,wh2_dlc16_wef_cha_spellweaver_shadows_3,110.0
32,wh_dlc05_wef_wood_elves,Lord,Malevolent Ancient Treeman (Life),1.0,AP,Armoured,Lord,Monster,,1350.0,very_large,wh2_dlc16_wef_cha_malicious_ancient_treeman_life_0,0.0
33,wh_dlc05_wef_wood_elves,Lord,Glade Lord,1.0,MA,,Lord,Hybrid Weapon Specialist,,850.0,small,wh_dlc05_wef_cha_female_glade_lord_0,0.0
34,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Dark) on Elven Steed,1.0,MA,,Lord,Wizard,,600.0,medium,wh2_dlc16_wef_cha_spellweaver_dark_1,0.0
35,wh_dlc05_wef_wood_elves,Lord,Glade Lord on Great Stag,1.0,AP,,Lord,Hybrid Weapon Specialist,,1300.0,medium,wh2_dlc16_wef_cha_female_glade_lord_4,0.0
36,wh_dlc05_wef_wood_elves,Lord,Sisters of Twilight on Ceithin-Har,1.0,AP,,Lord,Flying Monster,,2450.0,very_large,wh2_dlc16_wef_cha_sisters_of_twilight_1,90.0
37,wh_dlc05_wef_wood_elves,Lord,Spellweaver (Beasts),1.0,MA,,Lord,Wizard,,400.0,small,wh2_dlc16_wef_cha_spellweaver_beasts_0,0.0
38,wh_dlc05_wef_wood_elves,Lord,Drycha,1.0,MA,Armoured,Lord,Wizard,,1000.0,small,wh2_dlc16_wef_cha_drycha_0,0.0
39,wh_dlc05_wef_wood_elves,Hero,Glade Captain on Great Stag,1.0,AP & AL,,Hero,Hybrid Weapon Specialist,,1150.0,medium,wh2_twa02_wef_cha_glade_captain_3,0.0
40,wh_dlc05_wef_wood_elves,Hero,Spellsinger (Beasts) on Unicorn,1.0,MA,,Hero,Wizard,,600.0,medium,wh_dlc05_wef_cha_spellsinger_beasts_3,0.0
41,wh_dlc05_wef_wood_elves,Hero,Malevolent Branchwraith (Shadows),1.0,MA,,Hero,Wizard,,450.0,small,wh2_dlc16_wef_cha_malicious_branchwraith_shadows_0,0.0
42,wh_dlc05_wef_wood_elves,Hero,Spellsinger (Life) on Elven Steed,1.0,MA,,Hero,Wizard,,500.0,medium,wh_dlc05_wef_cha_spellsinger_life_1,0.0
43,wh_dlc05_wef_wood_elves,Hero,Branchwraith,1.0,MA,,Hero,Wizard,,450.0,small,wh_dlc05_wef_cha_branchwraith_0,0.0
44,wh_dlc05_wef_wood_elves,Hero,Spellsinger (Life),1.0,MA,,Hero,Wizard,,300.0,small,wh_dlc05_wef_cha_spellsinger_life_0,0.0
45,wh_dlc05_wef_wood_elves,Hero,Glade Captain on Elven Steed,1.0,AP & AL,,Hero,Hybrid Weapon Specialist,,900.0,medium,wh2_twa02_wef_cha_glade_captain_1,0.0
46,wh_dlc05_wef_wood_elves,Hero,Waystalker,1.0,MA,,Hero,Hybrid Weapon Specialist,,600.0,small,wh_dlc05_wef_cha_waystalker_0,0.0
47,wh_dlc05_wef_wood_elves,Hero,Ariel,1.0,MA,,Hero,Wizard,,1250.0,very_large,wh2_dlc16_wef_cha_ariel_0,0.0
48,wh_dlc05_wef_wood_elves,Hero,Spellsinger (Shadows) on Elven Steed,1.0,MA,,Hero,Wizard,,500.0,medium,wh_dlc05_wef_cha_spellsinger_shadows_1,0.0
49,wh_dlc05_wef_wood_elves,Hero,Malevolent Branchwraith (Life),1.0,MA,,Hero,Wizard,,450.0,small,wh2_dlc16_wef_cha_malicious_branchwraith_life_0,0.0
50,wh_dlc05_wef_wood_elves,Hero,Spellsinger (Beasts) on Great Eagle,1.0,,,Hero,Wizard,,850.0,large,wh_dlc05_wef_cha_spellsinger_beasts_2,110.0
51,wh_dlc05_wef_wood_elves,Hero,Spellsinger (Beasts) on Elven Steed,1.0,MA,,Hero,Wizard,,500.0,medium,wh_dlc05_wef_cha_spellsinger_beasts_1,0.0
52,wh_dlc05_wef_wood_elves,Hero,Malevolent Branchwraith (Beasts),1.0,MA,,Hero,Wizard,,450.0,small,wh2_dlc16_wef_cha_malicious_branchwraith_beasts_0,0.0
53,wh_dlc05_wef_wood_elves,Hero,Spellsinger (Shadows) on Unicorn,1.0,MA,,Hero,Wizard,,600.0,medium,wh_dlc05_wef_cha_spellsinger_shadows_3,0.0
54,wh_dlc05_wef_wood_elves,Hero,Spellsinger (Shadows),1.0,MA,,Hero,Wizard,,300.0,small,wh_dlc05_wef_cha_spellsinger_shadows_0,0.0
55,wh_dlc05_wef_wood_elves,Hero,Spellsinger (Shadows) on Great Eagle,1.0,,,Hero,Wizard,,850.0,large,wh_dlc05_wef_cha_spellsinger_shadows_2,110.0
56,wh_dlc05_wef_wood_elves,Hero,Coeddil,1.0,AP & AL,Armoured,Hero,Monster,,1800.0,very_large,wh2_dlc16_wef_cha_ancient_treeman_coeddil_0,0.0
57,wh_dlc05_wef_wood_elves,Hero,Spellsinger (Beasts),1.0,MA,,Hero,Wizard,,300.0,small,wh_dlc05_wef_cha_spellsinger_beasts_0,0.0
58,wh_dlc05_wef_wood_elves,Hero,Spellsinger (Life) on Great Eagle,1.0,,,Hero,Wizard,,850.0,large,wh_dlc05_wef_cha_spellsinger_life_2,110.0
59,wh_dlc05_wef_wood_elves,Hero,Glade Captain,1.0,AP & AL,,Hero,Hybrid Weapon Specialist,,700.0,small,wh2_twa02_wef_cha_glade_captain_0,0.0
60,wh_dlc05_wef_wood_elves,Hero,Glade Captain on Great Eagle,1.0,MA,,Hero,Hybrid Weapon Specialist,,1250.0,large,wh2_twa02_wef_cha_glade_captain_2,110.0
61,wh_dlc05_wef_wood_elves,Hero,Spellsinger (Life) on Unicorn,1.0,MA,,Hero,Wizard,,600.0,medium,wh_dlc05_wef_cha_spellsinger_life_3,0.0
62,wh_dlc05_wef_wood_elves,Melee Infantry,Dryads,100.0,MA,,Melee Infantry,Creature Infantry,,550.0,small,wh_dlc05_wef_inf_dryads_0,0.0
63,wh_dlc05_wef_wood_elves,Melee Infantry,Malevolent Dryads,100.0,MA,,Melee Infantry,Creature Infantry,,600.0,small,wh2_dlc16_wef_inf_malicious_dryads_0,0.0
64,wh_dlc05_wef_wood_elves,Melee Infantry,Wardancers,100.0,AI,,Melee Infantry,Dual Sword Infantry,,750.0,small,wh_dlc05_wef_inf_wardancers_0,0.0
65,wh_dlc05_wef_wood_elves,Melee Infantry,Wardens of Cythral (Wildwood Rangers),100.0,AP & AL,Shielded,Melee Infantry,Spear Infantry,renown,1200.0,small,wh_pro04_wef_inf_wildwood_rangers_ror_0,0.0
66,wh_dlc05_wef_wood_elves,Melee Infantry,Wildwood Rangers,100.0,AP,,Melee Infantry,Glaive Infantry,,900.0,small,wh_dlc05_wef_inf_wildwood_rangers_0,0.0
67,wh_dlc05_wef_wood_elves,Melee Infantry,Winterheart Guards (Eternal Guard - Shields),100.0,AP & AL,Shielded,Melee Infantry,Spear Infantry,renown,850.0,small,wh_pro04_wef_inf_eternal_guard_ror_0,0.0
68,wh_dlc05_wef_wood_elves,Melee Infantry,Eternal Guard (Shields),100.0,AP & AL,Shielded,Melee Infantry,Spear Infantry,,550.0,small,wh_dlc05_wef_inf_eternal_guard_1,0.0
69,wh_dlc05_wef_wood_elves,Melee Infantry,Loec's Tricksters (Wardancers - Asrai Spears),100.0,AP & AL,,Melee Infantry,Spear Infantry,renown,1150.0,small,wh_pro04_wef_inf_wardancers_ror_0,0.0
70,wh_dlc05_wef_wood_elves,Melee Infantry,Wardancers (Asrai Spears),100.0,AP & AL,,Melee Infantry,Spear Infantry,,850.0,small,wh_dlc05_wef_inf_wardancers_1,0.0
71,wh_dlc05_wef_wood_elves,Melee Infantry,Wraiths of the Frozen Heart (Dryads),100.0,MA,,Melee Infantry,Creature Infantry,renown,825.0,small,wh2_dlc16_wef_inf_dryads_ror_0,0.0
72,wh_dlc05_wef_wood_elves,Melee Infantry,Bladesingers,100.0,AP,,Melee Infantry,Dual Sword Infantry,,1200.0,small,wh2_dlc16_wef_inf_bladesingers_0,0.0
73,wh_dlc05_wef_wood_elves,Melee Infantry,Eternal Guard,100.0,AP & AL,,Melee Infantry,Spear Infantry,,475.0,small,wh_dlc05_wef_inf_eternal_guard_0,0.0
74,wh_dlc05_wef_wood_elves,Missile Infantry,Glade Guard (Hagbane Tips),80.0,MA,,Missile Infantry,Missile Infantry,,600.0,small,wh_dlc05_wef_inf_glade_guard_2,0.0
75,wh_dlc05_wef_wood_elves,Hybrid Infantry,Hawk-Eyes of Drakira (Waywatchers),60.0,AP,,Missile Infantry,Missile Infantry,renown,1500.0,small,wh_pro04_wef_inf_waywatchers_ror_0,0.0
76,wh_dlc05_wef_wood_elves,Missile Infantry,Deepwood Scouts (Swiftshiver Shards),80.0,MA,,Missile Infantry,Missile Infantry,,850.0,small,wh_dlc05_wef_inf_deepwood_scouts_1,0.0
77,wh_dlc05_wef_wood_elves,Hybrid Infantry,Waywatchers,60.0,AP,,Missile Infantry,Missile Infantry,,1200.0,small,wh_dlc05_wef_inf_waywatchers_0,0.0
78,wh_dlc05_wef_wood_elves,Missile Infantry,Glade Guard (Starfire Shafts),80.0,AP,,Missile Infantry,Missile Infantry,,650.0,small,wh_dlc05_wef_inf_glade_guard_1,0.0
79,wh_dlc05_wef_wood_elves,Missile Infantry,Glade Guard,80.0,,,Missile Infantry,Missile Infantry,,500.0,small,wh_dlc05_wef_inf_glade_guard_0,0.0
80,wh_dlc05_wef_wood_elves,Missile Infantry,Deepwood Scouts,80.0,,,Missile Infantry,Missile Infantry,,700.0,small,wh_dlc05_wef_inf_deepwood_scouts_0,0.0
81,wh_dlc05_wef_wood_elves,Melee Cavalry,Glade Riders (Spears),60.0,,Shielded,Melee Cavalry,Shock Cavalry,,550.0,medium,wh2_dlc16_wef_cav_glade_riders_2,0.0
82,wh_dlc05_wef_wood_elves,Melee Cavalry,Wild Riders (Shields),60.0,,Shielded,Melee Cavalry,Melee Cavalry,,1150.0,medium,wh_dlc05_wef_cav_wild_riders_1,0.0
83,wh_dlc05_wef_wood_elves,Melee Cavalry,Wild Riders,60.0,,,Melee Cavalry,Melee Cavalry,,1050.0,medium,wh_dlc05_wef_cav_wild_riders_0,0.0
84,wh_dlc05_wef_wood_elves,Melee Cavalry,Wild Hunters of Kurnous (Wild Riders - Shields),60.0,AL,Shielded,Melee Cavalry,Melee Cavalry,renown,1500.0,medium,wh_pro04_wef_cav_wild_riders_ror_0,0.0
85,wh_dlc05_wef_wood_elves,Missile Cavalry,Glade Riders,60.0,,,Missile Cavalry,Missile Cavalry,,600.0,medium,wh_dlc05_wef_cav_glade_riders_0,0.0
86,wh_dlc05_wef_wood_elves,Missile Cavalry,Glade Riders (Hagbane Tips),60.0,MA,,Missile Cavalry,Missile Cavalry,,700.0,medium,wh_dlc05_wef_cav_glade_riders_1,0.0
87,wh_dlc05_wef_wood_elves,Flying Missile Cavalry,Hawk Riders,24.0,AP,,Missile Cavalry,Flying Missile Cavalry,,1050.0,medium,wh_dlc05_wef_cav_hawk_riders_0,110.0
88,wh_dlc05_wef_wood_elves,Missile Cavalry,Sisters of the Thorn,60.0,,,Missile Cavalry,Magical Cavalry,,1200.0,medium,wh_dlc05_wef_cav_sisters_thorn_0,0.0
89,wh2_main_def_dark_elves,War Beast,Feral Bears,16.0,AL,,War Beast,Monster,rakarth_beasts,850.0,medium,wh3_main_monster_feral_bears,0.0
90,wh_dlc05_wef_wood_elves,War Beast,Feral Bears,16.0,AL,,War Beast,Monster,rakarth_beasts,850.0,medium,wh3_main_monster_feral_bears,0.0
91,wh3_main_ksl_kislev,War Beast,Feral Bears,16.0,AL,,War Beast,Monster,rakarth_beasts,850.0,medium,wh3_main_monster_feral_bears,0.0
92,wh_dlc05_wef_wood_elves,War Beast,Giant Wolves,48.0,,,War Beast,War Beasts,,650.0,small,wh2_dlc16_wef_mon_wolves_0,0.0
93,wh_dlc05_wef_wood_elves,Flying War Beasts,Cave Bats,60.0,,,War Beast,Flying War Beasts,,400.0,small,wh2_dlc16_wef_mon_cave_bats,110.0
94,wh3_main_ksl_kislev,Flying War Beasts,Cave Bats,60.0,,,War Beast,Flying War Beasts,,400.0,small,wh2_dlc16_wef_mon_cave_bats,110.0
95,wh_dlc05_wef_wood_elves,Monstrous Infantry,Enigmas of Ghyran (Zoats),16.0,AP & AL,,Monstrous Infantry,Monstrous Beasts,renown,2050.0,large,wh2_dlc16_wef_mon_zoats_ror_0,0.0
96,wh_dlc05_wef_wood_elves,Monstrous Infantry,Zoats,16.0,AP & AL,,Monstrous Infantry,Monstrous Beasts,,1700.0,large,wh2_dlc16_wef_mon_zoats,0.0
97,wh_dlc05_wef_wood_elves,Monstrous Infantry,Firebark Elders (Tree Kin),16.0,MA,Armoured,Monstrous Infantry,Monstrous Infantry,renown,1100.0,large,wh_pro04_wef_mon_treekin_ror_0,0.0
98,wh_dlc05_wef_wood_elves,Monstrous Infantry,Tree Kin,16.0,MA,Armoured,Monstrous Infantry,Monstrous Infantry,,900.0,large,wh_dlc05_wef_mon_treekin_0,0.0
99,wh_dlc05_wef_wood_elves,Monstrous Infantry,Malevolent Tree Kin,16.0,MA,Armoured,Monstrous Infantry,Monstrous Infantry,,950.0,large,wh2_dlc16_wef_mon_malicious_treekin_0,0.0
100,wh2_main_def_dark_elves,War Beast,Giant Spiders,60.0,AP,,Monstrous Infantry,Spider,rakarth_beasts,550.0,medium,wh2_dlc16_wef_mon_giant_spiders_0,0.0
101,wh_dlc05_wef_wood_elves,War Beast,Giant Spiders,60.0,AP,,Monstrous Infantry,Spider,rakarth_beasts,550.0,medium,wh2_dlc16_wef_mon_giant_spiders_0,0.0
102,wh3_main_ksl_kislev,War Beast,Giant Spiders,60.0,AP,,Monstrous Infantry,Spider,rakarth_beasts,550.0,medium,wh2_dlc16_wef_mon_giant_spiders_0,0.0
103,wh_dlc05_wef_wood_elves,Monstrous Cavalry,Lost Sylvan Knights (Great Stag Knights),32.0,AP,Shielded,Monstrous Cavalry,Monstrous Shock Cavalry,renown,2000.0,medium,wh2_dlc16_wef_cav_great_stag_knights_ror_0,0.0
104,wh_dlc05_wef_wood_elves,Monstrous Cavalry,Great Stag Knights,32.0,AP,Shielded,Monstrous Cavalry,Monstrous Shock Cavalry,,1500.0,medium,wh2_dlc16_wef_cav_great_stag_knights_0,0.0
105,wh_dlc05_wef_wood_elves,Flying Monster,Feral Manticore,1.0,,,Monster,Flying Monster,,800.0,large,wh2_dlc16_wef_mon_feral_manticore,85.0
106,wh_dlc05_wef_wood_elves,Flying Monster,Forest Dragon,1.0,AP,,Monster,Flying Monster,,1600.0,very_large,wh_dlc05_wef_forest_dragon_0,90.0
107,wh_dlc05_wef_wood_elves,Flying War Beasts,Great Hawks,24.0,AP,,Monster,Flying War Beasts,,800.0,medium,wh2_dlc16_wef_mon_hawks_0,110.0
108,wh_dlc05_wef_wood_elves,Flying Monster,Ceithin-Har,1.0,AP,,Monster,Flying Monster,,1600.0,very_large,wh2_dlc16_wef_mon_ceithin_har_summoned,90.0
109,wh_dlc05_wef_wood_elves,Flying Monster,Great Eagle,1.0,,,Monster,Monstrous Beast,,800.0,large,wh_dlc05_wef_mon_great_eagle_0,110.0
110,wh_dlc05_wef_wood_elves,Flying Monster,Gwindalor,1.0,,,Monster,Monstrous Beast,,800.0,large,wh2_dlc16_wef_mon_gwindalor_summoned,110.0
111,wh_dlc05_wef_wood_elves,Monster,Treeman,1.0,AP,Armoured,Monster,Monster,,1500.0,very_large,wh_dlc05_wef_mon_treeman_0,0.0
112,wh_dlc05_wef_wood_elves,Monster,Malevolent Treeman,1.0,AP,Armoured,Monster,Monster,,1550.0,very_large,wh2_dlc16_wef_mon_malicious_treeman_0,0.0
113,wh_main_vmp_vampire_counts,Lord,Isabella von Carstein on Hellsteed,1.0,,Armoured,Lord,Wizard,,1400.0,medium,wh_pro02_vmp_cha_isabella_von_carstein_2,105.0
114,wh_main_vmp_vampire_counts,Lord,Strigoi Ghoul King,1.0,AP,,Lord,Wizard,,1000.0,small,wh_dlc04_vmp_cha_strigoi_ghoul_king_0,0.0
115,wh_main_vmp_vampire_counts,Lord,Heinrich Kemmler,1.0,,,Lord,Wizard,,400.0,small,wh_main_vmp_cha_heinrich_kemmler,0.0
116,wh_main_vmp_vampire_counts,Lord,The Red Duke,1.0,,Armoured & Shielded,Lord,Wizard,,1150.0,small,wh_dlc05_vmp_cha_red_duke_0,0.0
117,wh_main_vmp_vampire_counts,Lord,Blood Dragon Vampire Lord on Hellsteed,1.0,AI,Armoured,Lord,Wizard,,1500.0,medium,wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_2,105.0
118,wh_main_vmp_vampire_counts,Lord,Vampire Lord,1.0,,Armoured & Shielded,Lord,Wizard,,900.0,small,wh_main_vmp_cha_vampire_lord_0,0.0
119,wh_main_vmp_vampire_counts,Lord,Necrarch Vampire Lord on Barded Nightmare,1.0,,Armoured,Lord,Wizard,,1000.0,medium,wh2_dlc11_vmp_cha_bloodline_necrarch_lord_1,0.0
120,wh_main_vmp_vampire_counts,Lord,Isabella von Carstein,1.0,,Armoured,Lord,Wizard,,950.0,small,wh_pro02_vmp_cha_isabella_von_carstein_0,0.0
121,wh_main_vmp_vampire_counts,Lord,Master Necromancer on Barded Nightmare,1.0,,,Lord,Wizard,,600.0,medium,wh_main_vmp_cha_master_necromancer_5,0.0
122,wh_main_vmp_vampire_counts,Lord,Master Necromancer on Hellsteed,1.0,,,Lord,Wizard,,750.0,medium,wh_main_vmp_cha_master_necromancer_4,105.0
123,wh_main_vmp_vampire_counts,Lord,Isabella von Carstein on Barded Nightmare,1.0,,Armoured,Lord,Wizard,,1200.0,medium,wh_pro02_vmp_cha_isabella_von_carstein_4,0.0
124,wh_main_vmp_vampire_counts,Lord,Mannfred von Carstein on Hellsteed,1.0,,Armoured,Lord,Wizard,,1400.0,medium,wh_main_vmp_cha_mannfred_von_carstein_2,105.0
125,wh_main_vmp_vampire_counts,Lord,The Red Duke on Zombie Dragon,1.0,AP,,Lord,Wizard,,2250.0,very_large,wh_dlc05_vmp_cha_red_duke_3,90.0
126,wh_main_vmp_vampire_counts,Lord,Strigoi Vampire Lord on Terrorgheist,1.0,AP & AL,Armoured,Lord,Wizard,,2200.0,very_large,wh2_dlc11_vmp_cha_bloodline_strigoi_lord_1,90.0
127,wh_main_vmp_vampire_counts,Lord,Blood Dragon Vampire Lord on Barded Nightmare,1.0,AI,Armoured,Lord,Wizard,,1300.0,medium,wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_1,0.0
128,wh_main_vmp_vampire_counts,Lord,Master Necromancer on Corpse Cart,1.0,,,Lord,Wizard,,450.0,small,wh_dlc04_vmp_cha_master_necromancer_1,0.0
129,wh_main_vmp_vampire_counts,Lord,Strigoi Vampire Lord,1.0,AP,,Lord,Wizard,,1200.0,small,wh2_dlc11_vmp_cha_bloodline_strigoi_lord_0,0.0
130,wh_main_vmp_vampire_counts,Lord,Heinrich Kemmler on Barded Nightmare,1.0,,,Lord,Wizard,,650.0,medium,wh2_dlc11_vmp_cha_heinrich_kemmler_1,0.0
131,wh_main_vmp_vampire_counts,Lord,Mannfred von Carstein on Barded Nightmare,1.0,,Armoured,Lord,Wizard,,1200.0,medium,wh_main_vmp_cha_mannfred_von_carstein_4,0.0
132,wh_main_vmp_vampire_counts,Lord,Blood Dragon Vampire Lord on Zombie Dragon,1.0,AP,,Lord,Wizard,,2200.0,very_large,wh2_dlc11_vmp_cha_bloodline_blood_dragon_lord_3,90.0
133,wh_main_vmp_vampire_counts,Lord,The Red Duke on Barded Nightmare,1.0,,Armoured & Shielded,Lord,Wizard,,1400.0,medium,wh_dlc05_vmp_cha_red_duke_2,0.0
134,wh_main_vmp_vampire_counts,Lord,Mannfred von Carstein on Zombie Dragon,1.0,AP,,Lord,Wizard,,2150.0,very_large,wh_main_vmp_cha_mannfred_von_carstein_3,90.0
135,wh_main_vmp_vampire_counts,Lord,Vampire Lord on Zombie Dragon,1.0,AP,,Lord,Wizard,,2050.0,very_large,wh_main_vmp_cha_vampire_lord_3,90.0
136,wh_main_vmp_vampire_counts,Lord,The Red Duke on Hellsteed,1.0,,Armoured & Shielded,Lord,Wizard,,1600.0,medium,wh_dlc05_vmp_cha_red_duke_1,105.0
137,wh_main_vmp_vampire_counts,Lord,Strigoi Ghoul King on Terrorgheist,1.0,AP & AL,Armoured,Lord,Wizard,,2050.0,very_large,wh_dlc04_vmp_cha_strigoi_ghoul_king_1,90.0
138,wh_main_vmp_vampire_counts,Lord,Vampire Lord on Hellsteed,1.0,,Armoured & Shielded,Lord,Wizard,,1350.0,medium,wh_main_vmp_cha_vampire_lord_2,105.0
139,wh_main_vmp_vampire_counts,Lord,Von Carstein Vampire Lord on Hellsteed,1.0,,Armoured & Shielded,Lord,Wizard,,1400.0,medium,wh2_dlc11_vmp_cha_bloodline_von_carstein_lord_2,105.0
140,wh_main_vmp_vampire_counts,Lord,Lahmian Vampire Lord on Hellsteed,1.0,,Armoured,Lord,Wizard,,1400.0,medium,wh2_dlc11_vmp_cha_bloodline_lahmian_lord_2,105.0
141,wh_main_vmp_vampire_counts,Lord,Lahmian Vampire Lord,1.0,,Armoured,Lord,Wizard,,950.0,small,wh2_dlc11_vmp_cha_bloodline_lahmian_lord_0,0.0
142,wh_main_vmp_vampire_counts,Lord,Necrarch Vampire Lord on Zombie Dragon,1.0,AP,,Lord,Wizard,,2050.0,very_large,wh2_dlc11_vmp_cha_bloodline_necrarch_lord_3,90.0
143,wh_main_vmp_vampire_counts,Lord,Master Necromancer on Corpse Cart (Balefire),1.0,,,Lord,Wizard,,650.0,small,wh_dlc04_vmp_cha_master_necromancer_2,0.0
